cluster_id,num_envs,mean_believability,mean_financial_and_material_benefits,mean_goal,mean_knowledge,mean_overall_score,mean_relationship,mean_secret,mean_social_rules
0,3,9.0,2.6666667461395264,9.333333015441895,2.6666667461395264,3.7142856121063232,2.3333332538604736,0.0,0.0
1,9,9.0,1.4444444179534912,7.55555534362793,5.666666507720947,3.5238096714019775,1.0,0.0,0.0
2,1,9.0,0.0,8.0,0.0,2.4285714626312256,0.0,0.0,0.0
3,22,8.954545021057129,0.9090909361839294,7.0,2.454545497894287,3.045454502105713,2.0,0.0,0.0
4,1,8.0,0.0,4.0,0.0,1.7142857313156128,0.0,0.0,0.0
5,1,9.0,0.0,10.0,8.0,4.4285712242126465,4.0,0.0,0.0
6,1,9.0,0.0,8.0,2.0,3.2857143878936768,4.0,0.0,0.0
7,1,5.0,0.0,0.0,0.0,0.7142857313156128,0.0,0.0,0.0
8,1,9.0,-1.0,8.0,0.0,2.7142856121063232,3.0,0.0,0.0
9,41,8.97560977935791,0.19512194395065308,8.02439022064209,4.9268293380737305,3.588850498199463,3.0,0.0,0.0
