dimension,feature_index,pearson_corr
believability,226,-0.9182
believability,485,-0.9182
believability,93,-0.9182
believability,37,-0.9182
believability,379,-0.9182
believability,315,-0.9182
believability,377,-0.9182
believability,276,-0.9182
believability,136,-0.9182
believability,498,-0.9182
believability,216,-0.9182
believability,468,-0.9182
believability,273,-0.9182
believability,197,-0.9182
believability,162,-0.9182
believability,268,-0.9182
believability,405,-0.9182
believability,148,-0.9182
believability,411,-0.9182
believability,503,-0.9182
financial_and_material_benefits,15,0.5490
financial_and_material_benefits,401,-0.5347
financial_and_material_benefits,209,-0.4539
financial_and_material_benefits,536,0.3964
financial_and_material_benefits,219,0.3835
financial_and_material_benefits,245,-0.3826
financial_and_material_benefits,200,-0.3624
financial_and_material_benefits,144,0.3604
financial_and_material_benefits,116,-0.3446
financial_and_material_benefits,519,0.3242
financial_and_material_benefits,267,0.3216
financial_and_material_benefits,422,0.3213
financial_and_material_benefits,122,-0.3178
financial_and_material_benefits,424,-0.3105
financial_and_material_benefits,137,0.3078
financial_and_material_benefits,325,-0.3063
financial_and_material_benefits,133,0.3037
financial_and_material_benefits,151,0.2987
financial_and_material_benefits,436,-0.2968
financial_and_material_benefits,83,0.2945
goal,86,-0.5070
goal,531,-0.4986
goal,196,-0.4586
goal,379,-0.4056
goal,136,-0.4056
goal,421,-0.4056
goal,405,-0.4056
goal,468,-0.4056
goal,485,-0.4056
goal,280,-0.4056
goal,273,-0.4056
goal,498,-0.4056
goal,197,-0.4056
goal,276,-0.4056
goal,37,-0.4056
goal,162,-0.4056
goal,216,-0.4056
goal,226,-0.4056
goal,268,-0.4056
goal,93,-0.4056
knowledge,545,0.4882
knowledge,388,0.3893
knowledge,451,0.3829
knowledge,78,0.3609
knowledge,116,0.3603
knowledge,231,-0.3599
knowledge,206,-0.3486
knowledge,417,-0.3479
knowledge,180,0.3395
knowledge,230,-0.3389
knowledge,465,-0.3386
knowledge,470,-0.3330
knowledge,214,0.3323
knowledge,267,-0.3297
knowledge,234,0.3294
knowledge,335,-0.3254
knowledge,543,0.3248
knowledge,325,0.3238
knowledge,164,0.3218
knowledge,351,-0.3195
relationship,325,0.5276
relationship,543,0.5122
relationship,113,0.4920
relationship,116,0.4539
relationship,184,-0.4388
relationship,395,0.4310
relationship,194,-0.4272
relationship,429,0.4072
relationship,20,0.4069
relationship,385,-0.3989
relationship,545,0.3963
relationship,394,-0.3947
relationship,326,-0.3919
relationship,214,-0.3876
relationship,416,-0.3802
relationship,364,-0.3797
relationship,47,-0.3772
relationship,151,-0.3684
relationship,78,0.3562
relationship,245,0.3541
secret,0,0.0000
secret,1,0.0000
secret,2,0.0000
secret,3,0.0000
secret,4,0.0000
secret,5,0.0000
secret,6,0.0000
secret,7,0.0000
secret,8,0.0000
secret,9,0.0000
secret,10,0.0000
secret,11,0.0000
secret,12,0.0000
secret,13,0.0000
secret,14,0.0000
secret,15,0.0000
secret,16,0.0000
secret,17,0.0000
secret,18,0.0000
secret,19,0.0000
social_rules,0,0.0000
social_rules,1,0.0000
social_rules,2,0.0000
social_rules,3,0.0000
social_rules,4,0.0000
social_rules,5,0.0000
social_rules,6,0.0000
social_rules,7,0.0000
social_rules,8,0.0000
social_rules,9,0.0000
social_rules,10,0.0000
social_rules,11,0.0000
social_rules,12,0.0000
social_rules,13,0.0000
social_rules,14,0.0000
social_rules,15,0.0000
social_rules,16,0.0000
social_rules,17,0.0000
social_rules,18,0.0000
social_rules,19,0.0000
